Field,Diagonal,cover,insect,fungal,Insect+fungal,n_poor_cover,total_ears,Fungal_proportion
341,D2,inadequate,0,1,0,13,15,0.0667
342,D2,inadequate,0,2,8,9,14,0.7143
343,D2,inadequate,1,2,2,11,16,0.25
344,D2,inadequate,0,0,0,11,16,0
345,D2,inadequate,0,1,1,5,15,0.1333
346,D2,inadequate,2,0,1,7,15,0.0667
347,D2,inadequate,1,1,2,4,15,0.2
348,D2,inadequate,0,1,3,3,15,0.2667
349,D2,inadequate,3,0,6,3,13,0.4615
350,D2,inadequate,0,4,6,12,18,0.5556
351,D2,inadequate,4,2,0,14,14,0.1429
352,D2,inadequate,0,4,5,12,15,0.6
353,D2,inadequate,0,3,1,6,15,0.2667
354,D2,inadequate,0,0,2,15,17,0.1176
355,D2,inadequate,3,7,1,18,18,0.4444
356,D2,inadequate,1,2,8,7,15,0.6667
357,D2,inadequate,1,1,0,2,15,0.0667
358,D2,inadequate,0,9,3,6,15,0.8
359,D2,inadequate,0,0,0,0,15,0
360,D2,inadequate,0,0,0,11,16,0
366,D2,inadequate,0,1,0,16,16,0.0625
371,D2,inadequate,0,1,0,10,17,0.0588
372,D2,inadequate,0,3,0,8,16,0.1875
373,D2,inadequate,0,1,0,11,16,0.0625
376,D2,inadequate,8,0,3,15,15,0.2
341,D1,full,1,0,1,0,15,0.0667
342,D1,full,1,1,10,0,15,0.7333
343,D1,full,3,3,0,0,16,0.1875
344,D1,full,0,1,0,0,15,0.0667
345,D1,full,1,0,1,0,15,0.0667
346,D1,full,2,2,2,0,15,0.2667
347,D1,full,0,0,0,0,15,0
348,D1,full,2,1,2,0,15,0.2
349,D1,full,1,8,0,0,14,0.5714
350,D1,full,0,4,7,0,15,0.7333
351,D1,full,3,2,6,0,15,0.5333
352,D1,full,4,2,2,0,17,0.2353
353,D1,full,0,1,0,0,15,0.0667
354,D1,full,1,1,3,0,16,0.25
355,D1,full,0,0,0,0,15,0
356,D1,full,4,1,2,0,15,0.2
357,D1,full,1,0,0,0,15,0
358,D1,full,1,5,1,0,15,0.4
359,D1,full,0,3,1,0,15,0.2667
360,D1,full,0,2,2,0,13,0.3077
366,D1,full,0,0,0,0,16,0
371,D1,full,0,1,0,0,16,0.0625
372,D1,full,0,1,0,0,17,0.0588
373,D1,full,0,0,0,0,16,0
376,D1,full,0,2,1,0,15,0.2
