Field,Season,Weather_var,Soil_CFU,Maize_CFU
1,one,S1,0.2,2.113448998
2,one,S1,0.040824829,0
3,one,S1,0.2,0.874325137
4,one,S1,0.2,0
5,one,S1,0.2,0
6,one,S1,0.25819889,0.27080128
7,one,S1,0.276887462,2.603416559
8,one,S1,0.1,0.592546294
9,one,S1,0.182574186,5.436502143
10,one,S1,0.2,0.571547607
11,one,S1,0.040824829,0
12,one,S1,0.057735027,0.163299316
13,one,S1,0.230940108,2.42899156
14,one,S1,0.182574186,7.745966692
15,one,S1,0.204124145,0
16,one,S1,0.152752523,9.2285788
17,one,S1,0.182574186,0.115470054
18,one,S1,0.081649658,0
19,one,S1,0.115470054,0.861523199
20,one,S1,0.091287093,8.592632503
21,one,N1,0.081649658,0
22,one,N1,0.182574186,0
23,one,N1,0.2,0
24,one,N1,0.152752523,0
25,one,N1,0.326598632,0
26,one,N1,0.27080128,0
27,one,N1,0.057735027,0
28,one,N1,0.238047614,0
29,one,N1,0.316227766,0
30,one,N1,0.2,0
31,one,N1,0.173205081,0
32,one,N1,0.081649658,0
33,one,N1,0.382970843,0
34,one,N1,0.152752523,0
35,one,N1,0.404145188,0
36,one,N1,0.1,0
37,one,N1,0.081649658,0
38,one,N1,0.081649658,0
39,one,N1,0.1,0
40,one,N1,0.091287093,0
41,two,S2,0.081649658,0
42,two,S2,0.173205081,0
43,two,S2,0.152752523,0
44,two,S2,0.115470054,0
45,two,S2,0.173205081,0
46,two,S2,0.129099445,0
47,two,S2,0.129099445,0
48,two,S2,0.264575131,0
49,two,S2,0.081649658,0
50,two,S2,0.152752523,0
51,two,S2,0.2,0
52,two,S2,0.129099445,0
53,two,S2,0.091287093,0.141421356
54,two,S2,0.129099445,0
55,two,S2,0.057735027,0
56,two,S2,0.4163332,0.230940108
57,two,S2,0.316227766,0
58,two,S2,0.129099445,0
59,two,S2,0.182574186,0.697614985
60,two,S2,0.163299316,0.705533683
61,two,N2,0.264575131,0
62,two,N2,0.348807492,0.081649658
63,two,N2,0.244948974,0
64,two,N2,0.182574186,0
65,two,N2,0.2,0
66,two,N2,0.353553391,0
67,two,N2,0.273861279,0
68,two,N2,0.234520788,0
69,two,N2,0.115470054,0
70,two,N2,0.365148372,0
71,two,N2,0.24832774,0
72,two,N2,0.936304794,0
73,two,N2,0.141421356,0
74,two,N2,0.230940108,0
75,two,N2,0.223606798,0
76,two,N2,0.227303028,0
77,two,N2,0.267706307,0
78,two,N2,0.129099445,0
79,two,N2,0.3082207,0
80,two,N2,0.129099445,0
