Field,Season,Weather_var,Soil_CFU,Maize_CFU,husk_Full,husk_Inadequate,Flavi_Soil,Flavi_Full_Husk,Flavi_Inadequate_Husk,Aflatoxin_Full_Husk,Aflatoxin_Inadequate_Husk
S2-41,two,S2,0.081649658,0,0,0,0.03,0,0,0,0
S2-42,two,S2,0.173205081,0,0,0,0.05,0,0,0,0
S2-43,two,S2,0.152752523,0,0,0,0.05,0,0,0,0
S2-44,two,S2,0.115470054,0,0,0,0.04,0,0,0,0
S2-45,two,S2,0.173205081,0,0,0,0.05,0,0,0,0
S2-46,two,S2,0.129099445,0,0,0,0.04,0,0,0,0
S2-47,two,S2,0.129099445,0,0,0,0.04,0,0,0,0
S2-48,two,S2,0.264575131,0,0,0,0.08,0,0,0,0
S2-49,two,S2,0.081649658,0,0,0,0.03,0,0,0,0
S2-50,two,S2,0.152752523,0,0,0,0.05,0,0,0,0
S2-51,two,S2,0.2,0,0,0,0.06,0,0,0,0
S2-52,two,S2,0.129099445,0,0,0,0.04,0,0,0,0
S2-53,two,S2,0.091287093,0.141421356,20,0,0.03,0.04472136,0,0,0
S2-54,two,S2,0.129099445,0,0,0,0.04,0,0,0,0
S2-55,two,S2,0.057735027,0,0,0,0.02,0,0,0,0
S2-56,two,S2,0.4163332,0.230940108,53.33,0,0.13,0.073029674,0,0,0
S2-57,two,S2,0.316227766,0,0,0,0.1,0,0,0,0
S2-58,two,S2,0.129099445,0,0,0,0.04,0,0,0,0
S2-59,two,S2,0.182574186,0.697614985,486.67,0,0.06,0.220605228,0,0,0
S2-60,two,S2,0.163299316,0.705533683,497.78,0,0.05,0.22310934,0,0,0
N2-61,two,N2,0.264575131,0,0,0,0.08,0,0,0,0
N2-62,two,N2,0.348807492,0.081649658,6.67,0,0.11,0.025819889,0,0,0
N2-63,two,N2,0.244948974,0,0,0,0.08,0,0,0,0
N2-64,two,N2,0.182574186,0,0,0,0.06,0,0,0,0
N2-65,two,N2,0.2,0,0,0,0.06,0,0,0,0
N2-66,two,N2,0.353553391,0,0,0,0.11,0,0,0,0
N2-67,two,N2,0.273861279,0,0,0,0.09,0,0,0,0
N2-68,two,N2,0.234520788,0,0,0,0.07,0,0,0,0
N2-69,two,N2,0.115470054,0,0,0,0.04,0,0,0,0
N2-70,two,N2,0.365148372,0,0,0,0.12,0,0,0,0
N2-71,two,N2,0.24832774,0,0,0,0.08,0,0,0,0
N2-72,two,N2,0.936304794,0,0,0,0.3,0,0,0,0
N2-73,two,N2,0.141421356,0,0,0,0.04,0,0,0,0
N2-74,two,N2,0.230940108,0,0,0,0.07,0,0,0,0
N2-75,two,N2,0.223606798,0,0,0,0.07,0,0,0,0
N2-76,two,N2,0.227303028,0,0,0,0.07,0,0,0,0
N2-77,two,N2,0.267706307,0,0,0,0.08,0,0,0,0
N2-78,two,N2,0.129099445,0,0,0,0.04,0,0,0,0
N2-79,two,N2,0.3082207,0,0,0,0.1,0,0,0,0
N2-80,two,N2,0.129099445,0,0,0,0.04,0,0,0,0
